District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
38,Meherpur,0.66,0.86,0.95,0.00,0.00,0.00,,3.00,0.36,0.13,3.00,0.36
39,Narail,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
40,Satkhira,2.40,2.41,2.40,0.00,0.00,0.00,,1.00,0.58,1.00,1.00,0.58
Khulna Division,None,9.86,10.78,13.87,0.00,0.00,0.00,,13.32,13.32,13.61,13.32,13.32
41,Jamalpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
44,Sherpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
45,Bogura,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
48,Natore,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.04,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.05,0.00,0.00
50,Pabna,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,0.04,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.05,0.00,0.00
53,Dinajpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
54,Gaibandha,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
58,Panchagar,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
59,Rangpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Rangpur Divison,None,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
61,Habiganj,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,11.90,11.86,11.88,0.00,0.00,0.00,,7.60,8.77,6.57,7.60,8.77
63,Sunamganj,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,11.90,11.86,11.88,0.00,0.00,0.00,,7.60,8.77,6.57,7.60,8.77
BANGLADESH,None,60.19,64.38,66.52,6.96,6.87,6.87,,152.93,49.61,155.12,159.80,56.48
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,119.72,113.87,116.75,0.00,0.00,0.00,,45.21,48.00,35.00,45.21,48.00
2,Barishal,120.52,110.00,110.00,0.00,0.00,0.00,,222.00,226.00,231.00,222.00,226.00
3,Bhola,1.07,1.07,1.03,0.00,0.00,0.00,,2.88,2.74,4.28,2.88,2.74
4,Jhallokati,37.07,36.00,37.00,0.00,0.00,0.00,,35.00,37.00,32.00,35.00,37.00
5,Patuakhali,22.00,22.00,21.89,0.00,0.00,0.00,,16.00,15.00,16.00,16.00,15.00
6,Pirojpur,64.24,64.46,64.91,16.74,0.00,17.73,,377.70,361.67,373.00,377.70,379.40
Barishal Division,None,364.62,347.40,351.58,16.74,0.00,17.73,,698.79,690.41,691.28,698.79,708.14
7,Bandarban,40.30,40.53,40.60,5.17,5.17,5.23,,2.60,2.65,7.71,7.77,7.88
8,Brahmanbaria,13.19,18.67,18.63,0.00,0.00,0.00,,33.71,33.98,36.29,33.71,33.98
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
10,Chattogram,45.53,35.69,9.22,0.00,0.00,0.00,,58.82,50.77,60.22,58.82,50.77
11,Cumilla,12.78,14.36,14.66,0.00,0.00,0.00,,8.32,16.96,7.03,8.32,16.96
12,Cox’s Bazar,6.84,7.50,8.48,0.00,0.00,0.00,,7.32,46.11,6.69,7.32,46.11
13,Feni,2.49,2.50,5.63,0.00,0.00,0.00,,2.39,13.60,2.38,2.39,13.60
14,Khagrachari,102.71,102.48,103.41,0.00,0.00,0.00,,81.70,82.55,84.54,81.70,82.55
15,Lakshmipur,7.32,7.40,4.60,0.00,0.00,0.00,,12.94,9.20,11.88,12.94,9.20
16,Noakhali,0.11,0.20,0.20,0.00,0.00,0.00,,1.09,1.09,0.64,1.09,1.09
17,Rangamati,37.02,37.33,37.51,1.13,1.12,1.06,,25.08,23.79,25.79,26.20,24.85
Chattogram Division,None,268.29,266.66,242.94,6.30,6.29,6.29,,233.97,280.70,243.17,240.26,286.99
18,Dhaka,15.56,16.02,15.47,0.00,0.00,0.00,,74.92,71.31,70.98,74.92,71.31
19,Faridpur,31.10,32.00,43.00,33.53,33.26,39.33,,276.07,261.09,301.74,309.33,300.42
20,Gazipur,7.00,7.00,7.00,0.00,0.00,0.00,,31.00,30.50,38.00,31.00,30.50
21,Gopalganj,17.78,18.07,18.45,0.00,0.00,0.00,,43.33,57.06,55.66,43.33,57.06
22,Kishoreganj,2.36,2.18,2.17,0.00,0.00,0.00,,5.22,5.34,6.23,5.22,5.34
23,Madaripur,47.47,47.39,46.63,0.00,0.00,0.00,,319.10,307.40,340.50,319.10,307.40
24,Manikganj,10.25,10.41,10.56,0.00,0.00,0.00,,10.56,10.58,8.80,10.56,10.58
25,Munshiganj,4.83,4.88,5.15,0.00,0.00,0.00,,13.97,16.66,14.00,13.97,16.66
26,Narayanganj,4.01,4.06,3.97,0.00,0.00,0.00,,22.89,24.64,25.85,22.89,24.64
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
28,Rajbari,11.47,12.91,11.97,0.00,0.00,0.00,,49.36,48.75,40.00,49.36,48.75
29,Shariatpur,29.03,30.17,31.12,0.00,0.00,8.20,,111.20,108.20,109.70,111.20,116.40
30,Tangail,1.04,0.98,1.17,0.00,0.00,0.00,,2.58,2.89,2.56,2.58,2.89
Dhaka Division,None,181.90,186.07,196.66,33.53,33.26,47.53,,960.20,944.42,1014.02,993.46,991.95
31,Bagerhat,68.22,70.01,109.53,96.07,0.00,27.39,,"1359.1
0","1364.3
5","1352.2
5","1359.1
0","1391.7
4"
32,Chuadanga,9.89,10.00,10.03,0.00,0.00,0.00,,12.99,13.74,12.77,12.99,13.74
33,Jashore,151.51,161.81,162.58,0.00,0.00,0.00,,"1326.0
3","1350.7
2","1258.0
6","1326.0
3","1350.7
2"
34,Jhenaidah,9.00,10.46,10.71,0.00,0.00,0.00,,65.97,67.84,62.54,65.97,67.84
35,Khulna,93.00,106.87,101.13,18.47,21.60,17.66,,723.85,513.01,507.71,745.45,530.67
36,Kushtia,5.00,7.00,4.00,0.00,0.00,0.00,,67.00,43.00,65.00,67.00,43.00
37,Magura,48.56,48.66,49.18,0.00,0.00,0.00,,253.95,261.04,222.97,253.95,261.04
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
39,Narail,243.64,243.55,242.94,0.00,0.00,0.00,,465.42,463.10,467.53,465.42,463.10
40,Satkhira,111.00,111.30,116.27,0.00,0.00,0.00,,344.23,332.24,333.01,344.23,332.24
Khulna Division,None,739.82,769.66,806.37,114.54,21.60,45.05,,4618.54,4409.04,4281.84,4640.1,4454.0
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
,None,,,,,,,,,,,4,9
41,Jamalpur,0.00,1.00,1.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,1.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,1.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0.00,1.00,1.00,0.00,0.00,0.00,,2.00,2.00,0.00,2.00,2.00
45,Bogura,14.00,12.70,10.00,0.00,0.00,0.00,,24.70,16.00,69.00,24.70,16.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
48,Natore,5.00,5.63,7.00,0.00,0.00,0.00,,38.89,41.00,40.00,38.89,41.00
49,Chapai Nawabganj,18.00,20.41,12.00,0.00,0.00,0.00,,29.18,47.00,24.00,29.18,47.00
50,Pabna,2.00,9.36,12.00,0.00,0.00,0.00,,27.49,38.00,17.00,27.49,38.00
51,Rajshahi,17.00,18.75,19.00,0.00,0.00,0.00,,22.50,24.00,20.00,22.50,24.00
52,Sirajganj,1.00,0.24,0.24,0.00,0.00,0.00,,2.00,2.00,6.00,2.00,2.00
Rajshahi Division,None,57.00,67.09,60.24,0.00,0.00,0.00,,144.76,168.00,176.00,144.76,168.00
53,Dinajpur,1.09,1.04,1.00,0.16,0.15,0.34,,1.99,4.66,2.10,2.14,5.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,2.65,2.85,4.25,0.00,0.00,0.00,,7.34,11.69,9.88,7.34,11.69
58,Panchagar,13.30,13.16,12.34,0.00,0.00,0.00,,18.58,18.55,19.38,18.58,18.55
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,5.85,6.04,6.24,0.00,29.67,0.00,,29.67,31.63,28.11,59.34,31.63
Rangpur Divison,None,22.89,23.09,23.83,0.16,29.82,0.34,,57.58,66.53,59.47,87.40,66.87
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,1.00,0.46,0.48,0.00,0.00,0.00,,1.75,1.85,2.56,1.75,1.85
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,1.00,0.46,0.48,0.00,0.00,0.00,,1.75,1.85,2.56,1.75,1.85
BANGLADESH,None,1635.52,1661.43,1683.10,171.27,90.97,116.94,,6717.59,6562.95,6468.34,6808.56,6679.89
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,61.78,63.18,65.04,0.00,0.00,0.00,,25.90,28.00,22.90,25.90,28.00
2,Barishal,30.47,41.00,42.52,0.00,0.00,0.00,,54.00,54.00,32.00,54.00,54.00
3,Bhola,2.01,2.00,2.19,0.00,0.00,0.00,,6.48,6.39,7.64,6.48,6.39
4,Jhallokati,16.00,17.00,16.00,0.00,0.00,0.00,,11.00,10.00,10.00,11.00,10.00
5,Patuakhali,28.00,29.00,31.04,0.00,0.00,0.00,,29.00,35.00,28.00,29.00,35.00
6,Pirojpur,0.65,0.63,0.63,0.00,0.00,0.00,,2.44,2.33,2.55,2.44,2.33
Barishal Division,None,138.91,152.81,157.42,0.00,0.00,0.00,,128.82,135.72,103.09,128.82,135.72
7,Bandarban,26.20,26.20,26.20,0.00,0.00,0.00,,1.32,1.54,2.95,1.32,1.54
8,Brahmanbaria,46.64,50.62,50.51,0.00,0.00,0.00,,109.36,114.19,105.52,109.36,"114.1
9"
9,Chandpur,5.82,5.91,5.91,0.00,0.00,0.00,,11.19,12.79,11.04,11.19,12.79
10,Chattogram,48.60,18.72,16.74,0.00,0.00,0.00,,78.02,52.73,80.24,78.02,52.73
11,Cumilla,42.37,54.00,58.00,29.42,29.69,31.32,,12.31,13.18,41.53,42.00,44.50
12,Cox’s Bazar,8.19,10.17,11.49,0.00,0.00,0.00,,5.15,6.03,4.31,5.15,6.03
13,Feni,0.94,0.92,0.98,0.00,0.00,0.00,,2.56,1.40,2.55,2.56,1.40
14,Khagrachari,1.21,1.17,1.16,0.00,0.00,0.00,,1.38,1.35,1.46,1.38,1.35
15,Lakshmipur,4.91,4.88,4.82,0.00,0.00,0.00,,9.02,8.73,8.84,9.02,8.73
16,Noakhali,0.21,0.30,0.32,0.00,0.00,0.00,,0.42,2.08,1.55,0.42,2.08
17,Rangamati,24.62,24.82,24.90,0.84,0.36,0.39,,27.20,29.82,28.21,27.56,30.21
Chattogram Division,None,209.71,197.71,201.03,30.26,30.05,31.71,,257.93,243.84,288.20,287.98,275.55
18,Dhaka,15.67,18.02,17.39,50.56,0.00,0.00,,49.57,46.14,50.58,49.57,46.14
19,Faridpur,156.00,156.00,157.00,11.64,11.17,8.52,,305.94,275.71,340.50,317.11,284.23
20,Gazipur,10.00,10.00,11.00,0.00,0.00,0.00,,18.00,19.00,19.00,18.00,19.00
21,Gopalganj,13.42,13.67,13.99,0.00,0.00,0.00,,46.72,74.55,75.82,46.72,74.55
22,Kishoreganj,2.48,2.34,2.33,0.00,0.00,0.00,,4.86,4.91,5.73,4.86,4.91
23,Madaripur,5.14,5.14,5.27,0.00,0.00,0.00,,31.83,30.81,32.01,31.83,30.81
24,Manikganj,48.63,48.86,38.35,0.00,0.00,0.00,,49.99,50.46,47.92,49.99,50.46
25,Munshiganj,5.90,6.10,5.98,0.00,0.00,0.00,,13.58,12.48,12.35,13.58,12.48
26,Narayanganj,4.76,4.68,4.63,0.00,0.00,0.00,,28.07,27.75,28.03,28.07,27.75
27,Narsingdi,15.15,15.28,15.50,0.13,0.13,0.00,,74.82,76.82,73.23,74.95,76.82
28,Rajbari,5.48,3.18,2.94,0.00,0.00,0.00,,11.95,11.64,12.70,11.95,11.64
29,Shariatpur,11.97,11.95,11.98,0.00,0.00,0.00,,25.88,26.40,24.14,25.88,26.40
30,Tangail,3.98,1.44,1.33,0.00,0.00,0.00,,6.00,5.22,20.35,6.00,5.22
Dhaka Division,None,298.58,296.66,287.69,62.33,11.30,8.52,,667.21,661.89,742.36,678.51,670.41
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,5.23,39.89,40.53,5.84,101.69,"121.8
3",,7.31,0.08,12.00,109.00,"121.9
1"
33,Jashore,3.15,9.17,8.75,0.00,0.00,0.00,,55.00,97.35,16.00,55.00,97.35
34,Jhenaidah,3.00,3.08,3.20,0.00,0.00,0.00,,14.00,13.82,14.00,14.00,13.82
35,Khulna,7.73,7.38,7.43,0.00,0.00,0.00,,80.00,75.31,81.00,80.00,75.31
36,Kushtia,4.00,5.00,4.00,0.00,0.00,0.00,,11.00,12.00,11.00,11.00,12.00
37,Magura,19.51,19.43,19.38,0.00,0.00,0.00,,122.00,122.83,123.00,122.00,"122.8
3"
38,Meherpur,6.16,10.46,10.55,2.14,2.79,3.67,,7.21,9.53,7.38,10.00,13.20
39,Narail,41.52,40.46,38.92,0.00,0.00,0.00,,12.00,12.37,14.00,12.00,12.37
40,Satkhira,17.22,24.22,28.20,0.00,0.00,0.00,,117.22,137.36,113.69,117.22,137.3
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
,,,,,,,,,,,,,6
Khulna Division,None,107.52,159.09,"160.9
6",7.98,104.48,125.50,,425.74,480.65,392.07,530.22,606.15
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.14,0.00,0.00,0.00,,0.00,1.00,0.00,0.00,1.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0.00,0.00,0.14,0.00,0.00,0.00,,0.00,1.00,0.00,0.00,1.00
45,Bogura,1.00,0.70,0.59,0.00,0.00,0.00,,2.13,1.07,2.00,2.13,1.07
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,12.15,12.95,0.00,0.00,0.42,,0.00,1.39,0.00,0.00,1.81
48,Natore,18.00,19.09,14.64,6.39,6.14,6.07,,44.84,45.08,51.00,50.98,51.15
49,Chapai Nawabganj,1.00,0.92,5.54,0.00,0.00,0.00,,3.54,3.84,4.00,3.54,3.84
50,Pabna,6.00,5.87,6.04,17.57,16.47,16.66,,33.19,34.10,52.00,49.66,50.76
51,Rajshahi,21.00,24.70,24.68,0.00,0.00,0.00,,30.16,30.16,18.00,30.16,30.16
52,Sirajganj,0.33,0.29,0.28,0.00,0.00,0.00,,1.12,1.27,2.00,1.12,1.27
Rajshahi Division,None,47.33,63.72,64.73,23.96,22.61,23.15,,114.98,116.91,129.00,137.59,140.06
53,Dinajpur,0.36,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.20,0.00,0.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
58,Panchagar,6.40,6.17,6.45,0.00,0.00,0.00,,2.53,4.46,2.59,2.53,4.46
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Rangpur Divison,None,6.76,6.17,6.45,0.00,0.00,0.00,,2.53,4.46,3.79,2.53,4.46
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,2.09,2.04,0.85,0.00,0.00,0.00,,2.98,3.35,4.52,2.98,3.35
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,2.09,2.04,0.85,0.00,0.00,0.00,,2.98,3.35,4.52,2.98,3.35
BANGLADESH,None,810.90,787.20,879.27,124.44,168.44,188.88,,1600.19,1647.82,1663.03,1768.63,1836.70
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0.00,6.90,11.10,0.00,0.60,0.49,,0.00,0.01,0.00,0.60,0.50
2,Barishal,196.28,5.00,13.00,50.28,0.00,0.00,,32.00,36.00,0.00,32.00,36.00
3,Bhola,34.57,15.44,25.63,29.62,9.34,8.61,,12.35,11.89,0.00,21.69,20.50
4,Jhallokati,57.00,22.00,59.00,83.86,96.17,95.77,,161.83,171.23,0.97,258.00,267.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.97,0.00,0.00
6,Pirojpur,85.19,22.30,88.67,177.96,183.90,103.05,,35.78,117.95,211.53,219.68,221.00
Barishal Division,None,373.04,71.64,197.40,341.72,290.01,207.92,,241.96,337.08,622.22,531.97,545.00
7,Bandarban,"1052.0
0","1052.2
0","1052.2
0",334.99,338.30,332.98,,2.61,10.52,337.54,340.91,343.50
8,Brahmanbaria,73.99,73.02,57.96,264.33,298.81,272.01,,0.02,0.03,264.33,298.83,272.04
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,38.40,47.45,0.00,40.00,78.73,,0.00,0.27,0.00,40.00,79.00
11,Cumilla,17.45,18.33,18.47,5.90,3.63,3.85,,7.11,7.58,17.25,10.74,11.43
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,316.75,346.63,379.41,282.19,390.42,421.99,,61.98,69.80,336.59,452.40,491.79
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
17,Rangamati,166.51,168.39,172.80,1062.08,"1069.1
6","1060.9
1",,303.53,317.77,"1369.2
0","1372.6
9","1378.6
8"
Chattogram Division,None,"1626.7
0","1696.9
7","1728.2
9",1949.49,"2140.3
2","2170.4
7",,375.25,405.97,"2324.9
1","2515.5
7","2576.4
4"
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00,,0..0,0.00,0.00,0.00,0.00
20,Gazipur,92.00,77.00,95.00,51.06,50.87,60.94,,25.13,27.06,73.54,76.00,88.00
21,Gopalganj,0.00,5.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,6.49,0.00,6.69,12.90,11.89,8.75,,11.02,3.03,18.20,22.91,11.78
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,53.28,58.05,58.86,57.76,40.12,39.23,,0.00,6.82,57.76,42.41,46.05
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,6.10,6.55,6.65,3.60,4.56,5.23,,2.29,50.32,52.74,55.61,55.55
30,Tangail,245.70,261.11,263.92,333.33,261.18,305.02,,0.00,45.17,415.28,299.00,350.19
Dhaka Division,None,403.57,408.58,431.12,458.65,368.62,419.17,,51.05,132.40,617.52,495.93,551.57
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,,37.82,0.00,0.00,0.00,0.00
32,Chuadanga,186.12,16.91,150.23,226.27,74.45,580.17,,127.31,45.00,232.42,77.57,625.17
33,Jashore,105.10,121.69,150.09,269.11,239.43,415.94,,0.00,0.06,287.67,301.00,416.00
34,Jhenaidah,97.50,175.45,180.75,162.18,255.56,363.43,,3.12,41.83,175.78,291.49,405.26
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00,,61.51,0.00,0.00,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,,35.93,0.00,0.00,0.00,0.00
37,Magura,6.75,12.33,20.00,7.57,18.20,35.73,,0.00,9.27,8.87,31.91,45.00
38,Meherpur,26.76,38.39,37.59,158.16,110.98,102.67,,0.00,6.65,176.14,117.19,109.32
39,Narail,7.10,23.58,29.99,1.74,2.22,1.20,,13.71,1.62,6.04,2.00,2.82
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,,6.21,0.00,0.00,0.00,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
Khulna Division,None,429.33,388.35,568.65,825.03,700.84,1499.14,,120.77,104.43,886.92,821.61,1603.57
41,Jamalpur,47.00,47.00,47.00,10.65,13.64,13.96,,0.35,0.04,11.00,14.00,14.00
42,Mymensingh,384.00,386.00,390.00,2049.50,"1494.5
0","2114.8
2",,14.50,39.18,"2095.9
2","1509.0
0","2154.0
0"
43,Netrokona,0.00,3.00,40.00,0.00,0.16,13.14,,0.84,3.86,0.00,1.00,17.00
44,Sherpur,49.12,52.00,53.00,1951.13,702.50,528.93,,0.50,7.07,"1961.2
7",703.00,536.00
Mymensingh Division,None,480.12,488.00,530.00,4011.28,2210.80,2670.85,,16.19,50.15,4068.19,2226.99,2721.00
45,Bogura,42.00,35.00,35.20,106.62,66.70,39.88,,4.30,25.22,109.73,71.00,65.10
46,Joypurhat,23.00,23.00,9.40,39.76,69.40,16.72,,3.60,4.18,43.53,73.00,20.90
47,Naogaon,110.00,84.00,228.80,162.18,444.47,"1067.1
3",,9.53,9.07,163.17,454.00,"1076.2
0"
48,Natore,99.00,101.00,101.90,160.70,167.24,352.18,,20.76,30.42,180.54,188.00,382.60
49,Chapai Nawabganj,64.00,59.00,61.50,118.67,108.50,73.94,,15.85,6.46,138.17,124.35,80.40
50,Pabna,7.00,4.00,3.90,21.46,8.70,10.79,,0.30,0.01,26.98,9.00,10.80
51,Rajshahi,303.00,309.00,308.30,363.24,453.77,482.72,,25.23,15.28,376.37,479.00,498.00
52,Sirajganj,16.00,30.00,2.28,0.00,0.00,0.00,,4.00,4.10,4.10,4.00,4.10
Rajshahi Division,None,664.00,645.00,751.28,972.63,1318.78,2043.36,,83.57,94.74,1042.59,1402.35,2138.10
53,Dinajpur,121.00,123.00,130.00,130.57,189.67,203.43,,93.52,95.57,137.11,283.19,299.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
55,Kurigram,1.12,1.51,4.00,0.54,0.58,2.43,,3.01,4.57,4.71,3.59,7.00
56,Lalmonirhat,108.89,111.14,112.04,83.08,85.95,85.03,,4.39,7.31,86.58,90.34,92.34
57,Nilphamari,24.52,25.31,26.13,41.42,42.93,40.79,,3.01,3.29,44.46,45.94,44.08
58,Panchagar,40.41,39.73,41.00,55.52,58.92,73.18,,40.45,45.82,95.52,99.37,119.00
59,Rangpur,41.83,42.72,45.45,81.50,85.91,91.29,,4.44,4.61,85.59,90.35,95.90
60,Thakurgaon,131.39,131.39,131.39,151.80,208.42,197.34,,60.49,59.66,235.80,268.91,257.00
Rangpur Divison,None,469.16,474.80,490.01,544.43,672.38,693.49,,209.31,220.83,689.77,881.69,914.32
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
